Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
1985-1986,La Nina,La Nina,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1986-1987,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1987-1988,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,La Nina,La Nina
1988-1989,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither
1989-1990,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1990-1991,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino,El Nino
1991-1992,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1992-1993,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1993-1994,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1994-1995,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither
1995-1996,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither
1996-1997,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino,El Nino
1997-1998,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1998-1999,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1999-2000,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
2000-2001,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither,Neither
2001-2002,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino
2002-2003,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither
2003-2004,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
2004-2005,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither
2005-2006,Neither,Neither,Neither,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither
2006-2007,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither,Neither
2007-2008,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
2008-2009,Neither,Neither,Neither,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither
2009-2010,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither
2010-2011,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither
2011-2012,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither
2012-2013,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
2013-2014,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
2014-2015,Neither,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
2015-2016,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither
2016-2017,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither,Neither,Neither,Neither
2017-2018,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
2018-2019,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
